sample_id,final_node_id,original_node_id,original_level
DF1185_00050_01,L1_N6e836104_BR_7637d7,L2_N7d5270bf,L2
DF1185_00062_01,L2_N3c9cbbd0,L2_N3c9cbbd0,L2
DF1185_00072_01,L2_N18198f00,L2_N18198f00,L2
DF1322_00019_01,L1_N6e836104_BR_c83016,L2_Nadf8c478,L2
DF0009_00022_01,L2_N466127b4,L2_N466127b4,L2
DF0009_00025_01,L2_N10f72f08,L2_N10f72f08,L2
DF0865_00041_01,L2_N10f72f08,L2_N10f72f08,L2
DF0298_00014_01,L2_N08a346fe,L2_N08a346fe,L2
DF0298_00019_01,L1_N70e79b29,L2_N709fdde1,L2
DF0459_00022_01,L1_N70e79b29,L2_N709fdde1,L2
DF0542_00023_01,L1_N70e79b29,L2_N709fdde1,L2
DF1898_00037_01,L1_N70e79b29,L2_N709fdde1,L2
DF0403_00012_01,L2_N9a2b3002,L2_N9a2b3002,L2
DF0403_00012_02,L2_N8c3b0cad,L2_N8c3b0cad,L2
DF0403_00019_01,L2_Nd77a7607,L2_Nd77a7607,L2
DF0403_00019_02,L2_N9ef25cc0,L2_N9ef25cc0,L2
DF0403_00027_01,L2_N69b20189,L2_N69b20189,L2
DF0403_00027_02,L2_Ne4cef915,L2_Ne4cef915,L2
DF0459_00015_01,L2_N8e687f9d,L2_N8e687f9d,L2
DF0459_00031_01,L2_Nf64b0b03,L2_Nf64b0b03,L2
DF0542_00016_01,L2_N08a346fe,L2_Nd0b47c6e,L2
DF0865_00036_01,L1_N70e79b29,L2_N172cd711,L2
DF1176_00033_01,L3_Na1b5b8e4,L2_N2f32c229,L2
DF1176_00038_01,L2_Nc3c2ff15,L2_Nc3c2ff15,L2
DF1322_00021_01,L2_Nc3c2ff15,L2_Nc3c2ff15,L2
DF1185_00078_01,L3_N595f8c05,L2_Nd39445b0,L2
DF1322_00013_01,L2_N926fa20a,L2_N926fa20a,L2
DF1322_00015_01,L1_N70e79b29,L2_N3782a8fc,L2
DF1322_00015_02,L2_Naaad89dc,L2_Naaad89dc,L2
DF1759_00054_01,L2_Nbfebbffa,L2_Nbfebbffa,L2
DF1759_00083_01,L2_N13abaa5a,L2_N13abaa5a,L2
DF1759_00120_01,L2_N68c2aa93,L2_N68c2aa93,L2
DF0298_00038_01,L2_N8ed52793,L2_N8ed52793,L2
DF0542_00028_01,L2_N6db20b9a,L2_N6db20b9a,L2
DF1898_00045_01,L2_N6db20b9a,L2_N6db20b9a,L2
DF0865_00024_01,L2_N242a428d,L2_Nd5d2d592,L2
DF0865_00069_01,L2_N242a428d,L2_N242a428d,L2
DF1898_00023_01,L1_N762e6689_BR_c43b41,L2_N6da1b013,L2
DF1185_00131_01,L2_Ne455f9ae,L2_Ne455f9ae,L2
DF1185_00076_01,L2_N60c3ab56,L2_N60c3ab56,L2
DF0459_00029_01,L2_N27ba78e2,L2_N27ba78e2,L2
DF1185_00106_01,L2_N640a2992,L2_N640a2992,L2
DF1185_00109_01,L2_N0e93e380,L2_N0e93e380,L2
DF0542_00031_01,L2_N578f3b8a,L2_N578f3b8a,L2
