node_a,node_b,score_mean,score_p75,score_max,pair_count,human_action,human_notes
L3_N18ada171,L3_Nf50b9a9d,0.18515512347221375,0.18515512347221375,0.1851551244108181,1,keep,
L3_N198ad664,L3_N303eccc1,0.3127897381782532,0.3276499807834625,0.342510206180609,2,keep,
L3_N198ad664,L3_N3810ecfd,0.19194218516349792,0.19194218516349792,0.1919421855637266,1,keep,
L3_N198ad664,L3_N48dcd88a,0.19720175862312317,0.19720175862312317,0.1972017576410444,1,keep,
L3_N198ad664,L3_N4c90cbd7,0.29681527614593506,0.29898589849472046,0.3011565426382836,2,keep,
L3_N198ad664,L3_N701e7011,0.18176190555095673,0.18176190555095673,0.1817619047236266,1,keep,
L3_N198ad664,L3_N8283673b,0.18710166215896606,0.18710166215896606,0.1871016619005447,1,keep,
L3_N198ad664,L3_N82cdf37d,0.18090394139289856,0.18090394139289856,0.1809039375663369,1,keep,
L3_N198ad664,L3_N8458a8a8,0.34457656741142273,0.3627430200576782,0.3809094744652166,2,keep,
L3_N198ad664,L3_N8b934feb,0.18957175314426422,0.18957175314426422,0.1895717502809986,1,keep,
L3_N198ad664,L3_N965cfc12,0.21532633900642395,0.21532633900642395,0.2153263396657832,1,keep,
L3_N198ad664,L3_N9815851a,0.18494409322738647,0.18494409322738647,0.1849441002414878,1,keep,
L3_N198ad664,L3_N9ecfe06c,0.5072960257530212,0.5072960257530212,0.5072960202321413,1,keep,
L3_N198ad664,L3_Nb67e0092,0.7205201983451843,0.7452967166900635,0.7700732898938968,2,keep,
L3_N198ad664,L3_Nbf6e7bf3,0.19372807443141937,0.19372807443141937,0.1937280810830529,1,keep,
L3_N198ad664,L3_Nc97533ee,0.2542332112789154,0.2623390257358551,0.2704448829591958,2,keep,
L3_N198ad664,L3_Nccfe417c,0.1999455988407135,0.1999455988407135,0.1999456001545151,1,keep,
L3_N198ad664,L3_Ne5a02d74,0.33567899465560913,0.35839858651161194,0.3811181728197328,2,keep,
L3_N198ad664,L3_Nf3b017a0,0.29557323455810547,0.29980647563934326,0.3040397540766073,2,keep,
L3_N1b187997,L3_N55664f5d,0.18841233849525452,0.1888422966003418,0.1892722633692946,2,keep,
L3_N1b187997,L3_N5b8fd671,0.7966598272323608,0.8266087770462036,0.856557751347525,2,keep,
L3_N1b187997,L3_N62ed0091,0.17989668250083923,0.18090999126434326,0.1819233156588152,2,keep,
L3_N1b187997,L3_N70eeee1d,0.196965754032135,0.196965754032135,0.1969657486956282,1,keep,
L3_N1b187997,L3_N74ff71bd,0.16868454217910767,0.16868454217910767,0.1686845429142531,1,keep,
L3_N1b187997,L3_N8b934feb,0.19588243961334229,0.19588243961334229,0.195882446254679,1,keep,
L3_N1b187997,L3_N9c47a867,0.18474307656288147,0.18474307656288147,0.1847430696710092,1,keep,
L3_N1b187997,L3_Na04441bf,0.17772826552391052,0.17772826552391052,0.1777282626468219,1,keep,
L3_N1b187997,L3_Na5cf0ba6,0.1859283596277237,0.1859283596277237,0.1859283612925679,1,keep,
L3_N1b187997,L3_Nb28e82d6,0.18692128360271454,0.18692128360271454,0.1869212848690422,1,keep,
L3_N1b187997,L3_Nb328f7fc,0.17062640190124512,0.17243826389312744,0.1742501311796999,2,keep,
L3_N1b187997,L3_Nbf5cb6ef,0.6369123458862305,0.6859415769577026,0.7349708911191131,2,keep,
L3_N1b187997,L3_Nc594b785,0.17732451856136322,0.1781691610813141,0.1790137955853947,2,keep,
L3_N1b187997,L3_Nd3c80123,0.1787608563899994,0.1787608563899994,0.1787608497733465,1,keep,
L3_N1b187997,L3_Nd571b089,0.1802862584590912,0.18210729956626892,0.1839283574505772,2,keep,
L3_N1b187997,L3_Ne42076c0,0.191635400056839,0.1938772052526474,0.1961190239544012,2,keep,
L3_N1b187997,L3_Ne55e384d,0.2099650353193283,0.2099650353193283,0.2099650320109796,1,keep,
L3_N1b187997,L3_Ne5a02d74,0.17733322083950043,0.17733322083950043,0.177333220024434,1,keep,
L3_N1b187997,L3_Ne78d3c45,0.1790744960308075,0.1790744960308075,0.1790744941155411,1,keep,
L3_N1b187997,L3_Ne96a4ba3,0.1753813773393631,0.1776728630065918,0.1799643506166354,2,keep,
L3_N1b187997,L3_Nfc162f8c,0.1910468488931656,0.1912359893321991,0.1914251327132504,2,keep,
L3_N1da589d2,L3_N22d9d7b1,0.17397601902484894,0.17397601902484894,0.1739760213019517,1,keep,
